Year,FSchiller,CSchiller,CStein,CGoethe
1780,0,0,532,0
1785,0,0,968,0
1790,0,0,132,0
1795,136,1,0,62
1800,643,8,0,234
1805,215,6,0,103
1810,0,0,0,123
1815,0,0,0,90
1820,0,0,0,3
