Year,CSchiller,CStein,CGoethe,FSchiller
1775,0,0,0,0
1780,0,532,0,0
1785,0,968,0,0
1790,0,132,0,0
1795,1,0,62,136
1800,8,0,234,643
1805,6,0,103,215
1810,0,0,123,0
1815,0,0,90,0
1820,0,0,3,0
1825,0,0,0,0
